feature,importance
alcohol,0.0
malic_acid,0.002587740579006955
nonflavanoid_phenols,0.006043966792573336
alcalinity_of_ash,0.0074737556501783585
ash,0.009105530124953607
total_phenols,0.011821694506497947
proanthocyanins,0.01662405279679553
magnesium,0.07360332907033795
hue,0.0803180280037467
od280/od315_of_diluted_wines,0.116064653091368
proline,0.14182611346367943
color_intensity,0.1651880752299551
flavanoids,0.36934306069090705
